equipo,arena,latitude,longitude,logo0,color,tm,local,visitor,latitude1,longitude1
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Lenovo Tenerife,28.45934431808708,-16.296844528818482
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Carplus Fuenlabrada,40.28271366483084,-3.800509143982543
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Barça,41.3802205350011,2.1201211695310715
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Surne Bilbao Basket,43.252351650418106,-2.9261184727627896
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Coviran Granada,37.15424932400022,-3.5936020041126646
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Lenovo Tenerife,28.45934431808708,-16.296844528818482
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Barça,41.3802205350011,2.1201211695310715
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Río Breogán,42.99112162431948,-7.545301072767826
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Cazoo Baskonia,42.86418354588555,-2.641617379517079
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Joventut Badalona,41.4426848150727,2.232038842544811
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Surne Bilbao Basket,43.252351650418106,-2.9261184727627896
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Bàsquet Girona,41.99106442107368,2.8105742658463644
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Casademont Zaragoza,41.699492152676626,-0.8766544769103839
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Unicaja,36.68279217722466,-4.460469972879309
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Real Madrid,40.4240337619823,-3.671751201650836
